'Ce soir c'est l'élection de #missfrance et je vais me faire un plaisir de NE PAS regarder.',0
'Ce soir c'est Miss France pour ceux qui ne le savent pas :D !! #MissFrance',Nan
'#medtaha #MIT Miss France 2012 : c'est ce soir ! - TF1  #àlaune',Nan
'@LorieOfficiel Bon courage Lorie et que la Meilleure gagne #MissFrance !',Nan
'#FF @MISSandraBisson pour suivre l'élection Miss France 2012 !!! #MissFrance #Miss #France',Nan
'DSK dans le jury TF1 pour les Miss #missfrance2012',Nan
'Miss France :D #TF1',Nan
'Attendez moi TF1 !!! je suis pas encore prête !!! Miss France 2012 c'est moi !! #missfrance2012',Nan
'Salle comble pour la soirée Miss France sur #TF1. Ya vraiment des gens qui paient pour assister à ça ?',Nan
'@LauryThilleman Tu es sublime et ta robe est magnifique ! :) #TF1',1
'Miss France 2012 dans quelques minutes sur #TF1 without Genevieve de Fontenay',Nan
'tiens je vais regarder le #téléthon. comprends pas trop TF1 qui pourrait programmer les Miss une semaine avant ou après.',Nan
'Je viens de voir @MenardMalika sur #tf1 &lt3 ! Cette femme est trop belle !',1
'@DenisBrogniart Vivement 20h50 pour la soirée sur Tf1 !! :) Je suis pour la Provence et la Bourgogne !! :)',1
'Allez Alison Cossenet : Miss France Languedoc Roussillon #Miss France 2012 TF1 ,1
'Va comater devant les Miss ce soir enfin surtout critiquer #MissFrance',Nan
'Yeaaah Election de Miss France ce soiir je vais regarder ça c'est certain ! :) #TF1.',1
'Ce soir on verra dieu il est sur TF1 dans le jury des miss !! Sauve qui peut !!!!',Nan
'Mes préférées pour ce soir (en photo du moins) : Miss Tahiti et Miss Provence #MissFrance',1
'Dans les bouchons ac @Karimacharni on veut rentrer voir #missfrance Attendez ns! (cc @lietteju @MenardMalika @ARosenfeldOffic @LauraTreves',Nan
'Soirée #MissFrance ça va être fun!! Un défilé de bombasse ou ... De thon on verra bien! #TweetBitch',1
'Ma mère veut me forcer à regarder l'élection de miss france 2012 #tf1 ! Je m'en fou moi je suis vnr ! #sauvezmoi',Nan
'Regarde Tf1 ---&gt Miss France 2012!!!',Nan
